stage,band,macd_mode,exit,lookahead,n_closed,n_open,win_rate,base_rate,z,p_value,expected_wins,wins,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,edge_pp,symbols_scored,symbols_with_positive_edge
S,b_20_50,dif_rising,trail_5,False,432,4,0.4212962962962963,0.5567253951862938,-5.755256745535394,0.9999999956744894,240.50537072047894,182.0,0.013573911392955492,-0.01281568748847467,16.949074074074073,10.0,1.4422664005919283,-13.542909888999755,5,1
S,b_20_50,dif_rising,trail_10,False,294,5,0.3979591836734694,0.5691343743151674,-6.0602854875920755,0.9999999993205992,167.32550604865924,117.0,0.050917489088707135,-0.028640736285556856,36.9421768707483,18.0,2.0877983100381856,-17.117519064169805,4,0
S,b_20_50,dif_rising,fixed_5,False,486,0,0.5761316872427984,0.532522507839139,1.8837012691708876,0.029802697335837746,258.80593880982155,280.0,0.0038373330946838684,0.007064267990605111,5.0,5.0,1.163700063670688,4.360917940365939,5,5
S,b_20_50,dif_rising,fixed_10,False,437,0,0.5217391304347826,0.554166907140305,-1.4140164460190008,0.9213214631213524,242.1709384203133,228.0,0.004378153834732596,0.0045356808318473,10.0,10.0,1.123598840677439,-3.2427776705522438,5,1
S,b_20_50,dif_rising,fixed_20,False,333,3,0.5345345345345346,0.5649323133324456,-1.17898859663857,0.8807986416835543,188.12246033970442,178.0,0.02038879038282133,0.01345290185344239,20.0,20.0,1.4697748154330081,-3.0397778797911057,5,2
S,b_50_80,none,death_cross,False,597,0,0.42546063651591287,0.5322172363661323,-5.279505437315308,0.9999999352334822,317.73369011058094,254.0,0.010040383879540355,-0.006182641499369312,5.050251256281407,4.0,1.6234530798661402,-10.675659985021941,5,0
S,b_50_80,none,k_turn_down,False,597,0,0.4489112227805695,0.5229045665429358,-3.6656903272098424,0.9998766638625969,312.1740262261327,268.0,0.008118562896586301,-0.0026768007336757105,3.1959798994974875,3.0,1.634214571237086,-7.399334376236633,5,0
S,b_50_80,none,k_over_80,False,368,0,0.7663043478260869,0.5492842202517881,8.36596983568602,2.981122505404424e-17,202.13659305265804,282.0,0.02045587831157958,0.022816709135519364,16.91576086956522,6.0,1.8500818480082248,21.702012757429877,5,5
S,b_50_80,none,macd_death,False,398,1,0.49246231155778897,0.5583884124423804,-2.7137026384560596,0.9966732069403382,222.2385881520674,196.0,0.023299345955195287,-0.0002648713374439615,15.633165829145728,12.0,1.948053402144177,-6.592610088459139,5,0
S,b_50_80,none,trail_5,False,345,2,0.4608695652173913,0.5585716345782524,-3.737135295882986,0.9999069356092316,192.70721392949707,159.0,0.020011661697999908,-0.011010784440784738,17.35072463768116,11.0,1.7182737577367768,-9.770206936086112,5,0
S,b_50_80,none,trail_10,False,200,3,0.46,0.5750036164768774,-3.4128550706609597,0.9996785693981781,115.00072329537548,92.0,0.06691855025497598,-0.010889744774974008,44.13,23.5,2.65728667400509,-11.500361647687734,4,0
S,b_50_80,none,fixed_5,False,511,0,0.5675146771037182,0.5332458697177977,1.510453110500967,0.06546392268816324,272.48863942579464,290.0,0.009829531279575268,0.006597129767173859,5.0,5.0,1.5721050677127932,3.426880738592042,5,4
S,b_50_80,none,fixed_10,False,429,0,0.5641025641025641,0.5556699078225128,0.3034607775180948,0.38076936701043396,238.38239045585797,242.0,0.016882255935634718,0.011538542657211881,10.0,10.0,1.7304928633588785,0.8432656280051298,5,2
S,b_50_80,none,fixed_20,False,339,1,0.6017699115044248,0.5687304229488285,1.1797764591707611,0.11904456734495994,192.79961337965287,204.0,0.02996549580082808,0.02345478932362277,20.0,20.0,1.9758731685101372,3.3039488555596352,5,5
S,b_50_80,dif_gt_dea,death_cross,False,367,0,0.44959128065395093,0.5296315459837553,-3.129684096672898,0.9991250280918147,194.3747773760382,165.0,0.013531125417354281,-0.004712109749843818,5.024523160762943,4.0,1.8398427353662519,-8.004026532980435,5,1
S,b_50_80,dif_gt_dea,k_turn_down,False,367,0,0.4550408719346049,0.5212590844996567,-2.595002634920594,0.9952704903079718,191.302084011374,167.0,0.010031794201308798,-0.002875588968427878,3.258855585831063,3.0,1.7152521272961154,-6.621821256505184,5,1
S,b_50_80,dif_gt_dea,k_over_80,False,256,0,0.78125,0.5433233775603676,7.623269979971381,1.2366441580522873e-14,139.09078465545412,200.0,0.019492034486786894,0.0246338244868054,16.03515625,5.5,1.7539062646883687,23.792662243963235,5,5
S,b_50_80,dif_gt_dea,macd_death,False,258,0,0.45348837209302323,0.5478169282434922,-3.1170560470638873,0.9990866657952767,141.33676748682097,117.0,0.027128022763060332,-0.005317372403365828,12.155038759689923,11.0,2.200217906940792,-9.432855615046892,5,0
S,b_50_80,dif_gt_dea,trail_5,False,249,2,0.4819277108433735,0.5571983613137461,-2.4731231261880353,0.9933031005579478,138.74239196712278,120.0,0.0261155815926465,-0.005606460306037397,18.2570281124498,11.0,1.976088548613631,-7.527065047037262,5,1
S,b_50_80,dif_gt_dea,trail_10,False,179,3,0.4748603351955307,0.5750815212184032,-2.830386065658109,0.997675406670788,102.93959229809417,85.0,0.07115514400715811,-0.007999992370605447,44.25698324022346,24.0,2.8464551884234224,-10.022118602287245,4,0
S,b_50_80,dif_gt_dea,fixed_5,False,325,0,0.5815384615384616,0.5305549818930172,1.7883926457594927,0.036856340994305244,172.43036911523058,189.0,0.013524692917211895,0.01056139733592798,5.0,5.0,1.7760114976215418,5.098347964544436,5,4
S,b_50_80,dif_gt_dea,fixed_10,False,280,0,0.5857142857142857,0.5524961691252434,1.0595108602982435,0.14468359293727584,154.69892735506815,164.0,0.020990605201834267,0.013184628990419167,10.0,10.0,1.9353595473073002,3.321811658904239,5,4
S,b_50_80,dif_gt_dea,fixed_20,False,242,0,0.6198347107438017,0.563909161946707,1.6976280013980192,0.044788997216209624,136.4660171911031,150.0,0.036521655516355306,0.027515238229517403,20.0,20.0,2.1820521328075935,5.592554879709466,5,4
S,b_50_80,dif_gt_zero,death_cross,False,495,0,0.4262626262626263,0.5328512078671839,-4.808237789723525,0.9999992386670946,263.761347894256,211.0,0.008755585004053861,-0.006182641499369312,5.026262626262627,4.0,1.5498403251969615,-10.65885816045576,5,0
S,b_50_80,dif_gt_zero,k_turn_down,False,495,0,0.4505050505050505,0.5233640823924673,-3.295120058996072,0.9995081018072194,259.06522078427133,223.0,0.00704225091117182,-0.0022744006432907637,3.1616161616161618,3.0,1.5816703029911854,-7.285903188741683,5,1
S,b_50_80,dif_gt_zero,k_over_80,False,324,0,0.7716049382716049,0.5501530627814671,8.007332989951761,5.861138780108983e-16,178.24959234119535,250.0,0.021028285070969127,0.02094362535403249,16.34567901234568,5.0,2.011753981557484,22.145187549013777,5,5
S,b_50_80,dif_gt_zero,macd_death,False,347,1,0.4956772334293948,0.559456233812804,-2.4609880031192466,0.9930722500484769,194.13131313304297,172.0,0.020055477306115614,-3.4051167452364695e-07,15.207492795389049,11.0,1.8578950081681684,-6.377900038340917,5,0
S,b_50_80,dif_gt_zero,trail_5,False,287,2,0.445993031358885,0.5623837050849938,-4.066584685933282,0.9999761464231626,161.40412335939322,128.0,0.015128451388486933,-0.014572625632447767,17.70383275261324,11.0,1.527020720258717,-11.639067372610878,5,0
S,b_50_80,dif_gt_zero,trail_10,False,165,3,0.40606060606060607,0.5814767536213732,-4.719948810185078,0.9999988204799909,95.94366434752658,67.0,0.06496728571366496,-0.01597444128394665,46.42424242424242,25.0,2.518941257864314,-17.54161475607671,4,0
S,b_50_80,dif_gt_zero,fixed_5,False,426,0,0.568075117370892,0.5343157666947014,1.3500987631297365,0.08849215253398768,227.61851661194277,242.0,0.008115787140152719,0.005456383637478468,5.0,5.0,1.4841899258480085,3.3759350676190625,5,3
S,b_50_80,dif_gt_zero,fixed_10,False,358,0,0.5726256983240223,0.557261423768768,0.5329889675073639,0.2970206086803267,199.49958970921892,205.0,0.016255331297093244,0.012114905752303673,10.0,10.0,1.7293604805748048,1.5364274555254354,5,3
S,b_50_80,dif_gt_zero,fixed_20,False,283,2,0.5971731448763251,0.5712715720920873,0.8248580896572395,0.2047260813052404,161.6698549020607,169.0,0.030898896500570792,0.018333413122745723,20.0,20.0,2.09883511447254,2.590157278423777,5,3
S,b_50_80,both,death_cross,False,272,0,0.45588235294117646,0.5297471398984243,-2.5056745613646365,0.9938890973590739,144.0912220523714,124.0,0.011613746827498762,-0.004346869547730892,4.944852941176471,4.0,1.7184038977880771,-7.386478695724779,5,1
S,b_50_80,both,k_turn_down,False,272,0,0.45588235294117646,0.5215640917972981,-2.232029591186794,0.9871934963757096,141.8654329688651,124.0,0.008299352788399916,-0.002413755896948311,3.2169117647058822,3.0,1.6137716264267556,-6.5681738856121665,5,0
S,b_50_80,both,k_over_80,False,207,0,0.7874396135265701,0.543017873087627,7.029990809118393,1.032735716394064e-12,112.40469972913878,163.0,0.019960021249045258,0.021108028022386982,14.96135265700483,4.0,1.918675110771938,24.442174043894315,5,5
S,b_50_80,both,macd_death,False,207,0,0.4444444444444444,0.5466420353227623,-3.0324209383277365,0.998786996803758,113.15490131181181,92.0,0.02145760376441206,-0.006060616180198597,10.565217391304348,9.0,2.0361085560780627,-10.219759087831793,5,0
