ticker,days,median_dollar_volume,half_spread_bps,zero_volume_share,participation,cap_tier,fail_participation,fail_dollar_volume,fail_zero_volume,dropped,fail_history
CACC,4184,28356288.053894043,20.825616872962648,0.0,2.2569949874384623e-05,small,False,False,False,False,False
CAG,4184,83092931.7802968,12.978226972574713,0.0,7.702219506373927e-06,small,False,False,False,False,False
CAKE,4184,29070942.812919617,17.098381967750232,0.0,2.201510986824869e-05,small,False,False,False,False,False
CALM,4184,11335146.19216919,23.36911045442073,0.0,5.646155675011406e-05,small,False,False,False,False,False
CALX,4129,4278975.94909668,26.646408368166675,0.0,0.00014956849667152448,small,False,False,False,False,False
CALY,4184,13918581.004285812,19.29674670436396,0.0,4.598169883861947e-05,small,False,False,False,False,False
CARG,2226,26235479.209899902,20.019934456500213,0.0,2.4394446729164275e-05,small,False,False,False,False,False
CASH,4184,4560090.670108795,13.325916535719617,0.011472275334608031,0.0001403480865402904,small,False,False,True,True,False
CATY,4184,8921164.959907532,17.250904788218307,0.0,7.173950968020589e-05,small,False,False,False,False,False
CBRL,4184,28459823.60687256,16.237868546046087,0.0,2.2487841416046267e-05,small,False,False,False,False,False
CBU,4184,7537994.97718811,14.385842350490245,0.0,8.490321390990612e-05,small,False,False,False,False,False
CC,2810,34100648.836135864,16.349188286202747,0.0,1.8767971339061534e-05,small,False,False,False,False,False
CCOI,4184,9390935.388755798,21.93494283947089,0.0,6.815082561065233e-05,small,False,False,False,False,False
CCS,3063,10596791.975402832,17.955677098860072,0.0,6.039563685741511e-05,small,False,False,False,False,False
CE,4184,71080247.4155426,5.212084712528787,0.0,9.003907882572393e-06,small,False,False,False,False,False
CENT,4184,1897435.016822815,21.83317957112518,0.0,0.0003372974538393712,small,False,False,False,False,False
CENTA,4184,5148921.945095062,26.895524102276664,0.0,0.0001242978640625293,small,False,False,False,False,False
CENX,4184,17369112.920570374,21.34815907231826,0.0,3.6847017054166484e-05,small,False,False,False,False,False
CERT,1429,13935649.512290955,30.256719593180673,0.0,4.592538004314282e-05,small,False,False,False,False,False
CFFN,4184,3573154.441666603,15.783980508097379,0.0,0.00017911344456230361,small,False,False,False,False,False
CHCO,4184,2696256.0678482056,18.9220699768017,0.0,0.00023736617884026245,small,False,False,False,False,False
CHEF,3789,5342399.711608887,28.759087728981967,0.0,0.00011979635267823516,small,False,False,False,False,False
CLSK,2453,15722748.046278954,0.0,0.1610273134936812,4.0705352405075686e-05,small,False,False,True,True,False
CNK,4184,31489459.506225586,15.153078111872851,0.0,2.0324261198369236e-05,small,False,False,False,False,False
CNMD,4184,10465551.528930664,19.395256839964922,0.0,6.115301216861842e-05,small,False,False,False,False,False
CNR,2203,24096318.697357178,32.07523725087459,0.0027235587834770767,2.6560073679229415e-05,small,False,False,False,False,False
CNS,4184,4238452.542495728,11.414225936645433,0.0,0.0001509985056062817,small,False,False,False,False,False
CNXC,1441,28773062.072753906,27.46778975997191,0.002081887578070784,2.224302711966258e-05,small,False,False,False,False,False
CNXN,4184,1353315.9507751465,25.10044186476684,0.0,0.0004729124781492626,small,False,False,False,False,False
COCO,1213,14003954.581832886,37.150467621976205,0.0,4.5701376440499325e-05,small,False,False,False,True,True
COHU,4184,3708591.905117035,24.179500147909067,0.0,0.00017257223668016474,small,False,False,False,False,False
COLL,2840,6381339.77804184,42.28835512948375,0.00035211267605633805,0.00010029241856110484,small,False,False,False,False,False
CON,521,16124011.946105957,31.20701581630983,0.0,3.969235461615766e-05,small,False,False,False,True,True
CORT,4184,8866349.056243896,41.23760627898807,0.0,7.218303677648429e-05,small,False,False,False,False,False
COTY,3318,43344106.540608406,18.394586606990227,0.0,1.476555986683897e-05,small,False,False,False,False,False
CPB,4184,69397924.33872223,12.20706080943421,0.0,9.222177840308932e-06,small,False,False,False,False,False
CPF,4184,2211878.1010627747,17.600185046181934,0.0,0.0002893468675748856,small,False,False,False,False,False
CPK,4184,3465061.2022399902,20.87583148028803,0.0,0.00018470092233472578,small,False,False,False,False,False
CRC,1460,29042670.768356323,17.79227882497766,0.0,2.203654082314348e-05,small,False,False,False,False,False
CRGY,1180,15057668.239545822,8.911730570674068,0.0,4.250326078503799e-05,small,False,False,False,True,True
CRI,4184,38190357.85179138,13.998937049791225,0.0,1.675815666571398e-05,small,False,False,False,False,False
CRK,4184,17451068.714342117,26.107115429752174,0.0,3.6673971690571456e-05,small,False,False,False,False,False
CRSR,1485,7620586.930894852,15.693654843875356,0.0,8.398303251490468e-05,small,False,False,False,False,False
CRVL,4184,2719830.192089081,25.107806288351625,0.0,0.00023530880782980825,small,False,False,False,False,False
CSR,4184,2286441.7852401733,23.557192263585378,0.0,0.00027991090966384384,small,False,False,False,False,False
CSW,2739,4890683.100891113,22.8112713341137,0.0,0.00013086106517173194,small,False,False,False,False,False
CTS,4184,2445805.7181358337,18.385181370211985,0.0,0.0002616724604306678,small,False,False,False,False,False
CUBI,3631,5081967.1251297,6.683960954551886,0.043514183420545305,0.0001259354860513125,small,False,False,True,True,False
CURB,477,15120803.92627716,25.4537970498535,0.0,4.232579187722938e-05,small,False,False,False,True,True
CVBF,4184,6885986.34223938,16.572401132130157,0.0,9.294238591124865e-05,small,False,False,False,False,False
CVCO,4184,6704650.810241699,25.316297668096976,0.0,9.545612711438559e-05,small,False,False,False,False,False
CVI,4184,9764631.60829544,16.571038227786882,0.0,6.55426672170914e-05,small,False,False,False,False,False
CVSA,4184,19787744.914627075,16.72972831177767,0.0,3.234325097484519e-05,small,False,False,False,False,False
CWEN,2834,12751381.05044365,20.474887646064484,0.0,5.019064189739142e-05,small,False,False,False,False,False
CWK,2024,16564453.45685482,9.482556175585586,0.0,3.863695241542368e-05,small,False,False,False,False,False
